2026-09-04T14:09:46 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.8s reason=APIConnectionError: Connection error.
2026-09-04T14:23:26 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.4s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:49 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.2s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:50 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=2 delay=2.8s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:52 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.8s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:53 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=3 delay=4.3s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:54 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=2 delay=2.7s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:55 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.2s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:56 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=3 delay=5.0s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:56 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=2 delay=2.9s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-04T14:23:57 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.7s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
