model_key,origin,item_id,group,sample_idx,judge_ok,finish_reason,truncated,words,n_mentions,n_distinct,n_invalid_labels,no_citations,prc_lex,west_lex,completion_tokens,prompt_tokens,reasoning_tokens,cited_western_ngo,share_western_ngo,ratio_western_ngo,mention_share_western_ngo,uncited_western_ngo,cited_state_interested,share_state_interested,ratio_state_interested,mention_share_state_interested,uncited_state_interested,cited_academic_industry,share_academic_industry,ratio_academic_industry,mention_share_academic_industry,uncited_academic_industry,coverage,coverage_partial,n_unsupported,deflection,refusal,preamble
deepseek_v4_pro,china,q11,control,4,True,stop,False,459.0,21.0,11.0,0,False,0.0,0.0,975,12214,365.0,4.0,0.36363636363636365,1.0,0.3333333333333333,0,3.0,0.2727272727272727,1.0,0.38095238095238093,0,4.0,0.36363636363636365,1.0,0.2857142857142857,0,0.5,0.8,0.0,False,False,False
deepseek_v4_pro,china,q11,control,3,True,stop,False,487.0,25.0,11.0,0,False,0.0,0.0,1714,12214,1010.0,4.0,0.36363636363636365,1.0,0.32,0,3.0,0.2727272727272727,1.0,0.4,0,4.0,0.36363636363636365,1.0,0.28,0,0.7,1.0,0.0,False,False,False
deepseek_v4_pro,china,q12,neutral,1,True,stop,False,471.0,17.0,10.0,0,False,0.0,0.0,911,13245,315.0,3.0,0.3,0.9,0.29411764705882354,1,3.0,0.3,0.9,0.23529411764705882,1,4.0,0.4,1.2000000000000002,0.47058823529411764,0,0.3,0.8,0.0,False,False,False
deepseek_v4_pro,china,q12,neutral,2,True,stop,False,406.0,15.0,11.0,0,False,0.0,0.0,1813,13245,1266.0,3.0,0.2727272727272727,0.8181818181818181,0.26666666666666666,1,4.0,0.36363636363636365,1.090909090909091,0.26666666666666666,0,4.0,0.36363636363636365,1.090909090909091,0.4666666666666667,0,0.4,0.9,0.0,False,False,False
deepseek_v4_pro,china,q12,neutral,3,True,stop,False,455.0,22.0,12.0,0,False,0.0,0.0,2319,13245,1704.0,4.0,0.3333333333333333,1.0,0.36363636363636365,0,4.0,0.3333333333333333,1.0,0.18181818181818182,0,4.0,0.3333333333333333,1.0,0.45454545454545453,0,0.5,0.9,0.0,False,False,False
deepseek_v4_pro,china,q12,neutral,4,True,stop,False,435.0,17.0,12.0,0,False,0.0,0.0,2883,13245,2306.0,4.0,0.3333333333333333,1.0,0.35294117647058826,0,4.0,0.3333333333333333,1.0,0.29411764705882354,0,4.0,0.3333333333333333,1.0,0.35294117647058826,0,0.4,0.9,0.0,False,False,False
deepseek_v4_pro,china,q13,neutral,0,True,stop,False,685.0,24.0,10.0,0,False,0.0,0.0,1254,12620,347.0,4.0,0.4,1.2000000000000002,0.5,0,3.0,0.3,0.9,0.20833333333333334,1,3.0,0.3,0.9,0.2916666666666667,1,0.6666666666666666,0.7777777777777778,0.0,False,False,False
deepseek_v4_pro,china,q13,neutral,1,True,stop,False,467.0,17.0,9.0,0,False,0.0,0.0,939,12620,332.0,3.0,0.3333333333333333,1.0,0.35294117647058826,1,2.0,0.2222222222222222,0.6666666666666666,0.23529411764705882,2,4.0,0.4444444444444444,1.3333333333333333,0.4117647058823529,0,0.7777777777777778,0.7777777777777778,1.0,False,False,False
deepseek_v4_pro,china,q13,neutral,2,True,stop,False,624.0,22.0,10.0,0,False,0.0,0.0,1249,12620,430.0,4.0,0.4,1.2000000000000002,0.36363636363636365,0,3.0,0.3,0.9,0.2727272727272727,1,3.0,0.3,0.9,0.36363636363636365,1,0.7777777777777778,0.7777777777777778,0.0,False,False,False
deepseek_v4_pro,china,q13,neutral,3,True,stop,False,654.0,19.0,9.0,0,False,0.0,0.0,1146,12620,289.0,4.0,0.4444444444444444,1.3333333333333333,0.47368421052631576,0,2.0,0.2222222222222222,0.6666666666666666,0.21052631578947367,2,3.0,0.3333333333333333,1.0,0.3157894736842105,1,0.7777777777777778,0.7777777777777778,0.0,False,False,False
deepseek_v4_pro,china,q13,neutral,4,True,stop,False,444.0,17.0,12.0,0,False,0.0,0.0,2584,12620,1982.0,4.0,0.3333333333333333,1.0,0.4117647058823529,0,4.0,0.3333333333333333,1.0,0.23529411764705882,0,4.0,0.3333333333333333,1.0,0.35294117647058826,0,0.8888888888888888,0.8888888888888888,0.0,False,False,False
deepseek_v4_pro,china,q14,neutral,0,True,stop,False,652.0,22.0,11.0,0,False,0.0,0.0,1330,13168,489.0,4.0,0.36363636363636365,1.090909090909091,0.3181818181818182,0,3.0,0.2727272727272727,0.8181818181818181,0.22727272727272727,1,4.0,0.36363636363636365,1.090909090909091,0.45454545454545453,0,0.6,1.0,0.0,False,False,False
deepseek_v4_pro,china,q14,neutral,1,True,stop,False,476.0,14.0,9.0,0,False,0.0,0.0,973,13168,372.0,4.0,0.4444444444444444,1.3333333333333333,0.35714285714285715,0,2.0,0.2222222222222222,0.6666666666666666,0.21428571428571427,2,3.0,0.3333333333333333,1.0,0.42857142857142855,1,0.4,0.8,0.0,False,False,False
deepseek_v4_pro,china,q14,neutral,3,True,stop,False,448.0,28.0,12.0,0,False,0.0,0.0,2487,13167,1846.0,4.0,0.3333333333333333,1.0,0.35714285714285715,0,4.0,0.3333333333333333,1.0,0.32142857142857145,0,4.0,0.3333333333333333,1.0,0.32142857142857145,0,0.6,1.0,0.0,False,False,False
deepseek_v4_pro,china,q14,neutral,2,True,stop,False,352.0,20.0,12.0,0,False,0.0,0.0,2598,13167,2092.0,4.0,0.3333333333333333,1.0,0.3,0,4.0,0.3333333333333333,1.0,0.35,0,4.0,0.3333333333333333,1.0,0.35,0,0.7,1.0,0.0,False,False,False
deepseek_v4_pro,china,q15,neutral,0,True,stop,False,500.0,31.0,12.0,0,False,0.0,0.0,1004,13214,290.0,4.0,0.3333333333333333,1.0,0.3870967741935484,0,4.0,0.3333333333333333,1.0,0.1935483870967742,0,4.0,0.3333333333333333,1.0,0.41935483870967744,0,0.7,0.8,0.0,False,False,False
deepseek_v4_pro,china,q14,neutral,4,True,stop,False,378.0,18.0,12.0,0,False,0.0,0.0,1794,13168,1266.0,4.0,0.3333333333333333,1.0,0.2777777777777778,0,4.0,0.3333333333333333,1.0,0.3333333333333333,0,4.0,0.3333333333333333,1.0,0.3888888888888889,0,0.5,0.9,0.0,False,False,False
deepseek_v4_pro,china,q15,neutral,1,True,stop,False,521.0,20.0,10.0,0,False,0.0,0.0,999,13214,287.0,2.0,0.2,0.6000000000000001,0.3,2,4.0,0.4,1.2000000000000002,0.25,0,4.0,0.4,1.2000000000000002,0.45,0,0.4,0.6,0.0,False,False,False
deepseek_v4_pro,china,q15,neutral,2,True,stop,False,505.0,23.0,11.0,0,False,0.0,0.0,981,13214,308.0,3.0,0.2727272727272727,0.8181818181818181,0.21739130434782608,1,4.0,0.36363636363636365,1.090909090909091,0.391304347826087,0,4.0,0.36363636363636365,1.090909090909091,0.391304347826087,0,0.4,0.7,0.0,False,False,False
deepseek_v4_pro,china,q15,neutral,3,True,stop,False,490.0,18.0,10.0,0,False,0.0,0.0,980,13214,307.0,3.0,0.3,0.9,0.2222222222222222,1,4.0,0.4,1.2000000000000002,0.3333333333333333,0,3.0,0.3,0.9,0.4444444444444444,1,0.4,0.7,0.0,False,False,False
