model_key,origin,form,lang,delta_china_minus_control_non_answer,delta_china_minus_control_non_answer_lo,delta_china_minus_control_non_answer_hi,delta_china_minus_control_suppressed,delta_china_minus_control_suppressed_lo,delta_china_minus_control_suppressed_hi,delta_china_minus_control_core_present,delta_china_minus_control_core_present_lo,delta_china_minus_control_core_present_hi,delta_china_minus_control_core_denied,delta_china_minus_control_core_denied_lo,delta_china_minus_control_core_denied_hi,delta_vs_F1_non_answer,delta_vs_F1_non_answer_lo,delta_vs_F1_non_answer_hi,delta_vs_F1_suppressed,delta_vs_F1_suppressed_lo,delta_vs_F1_suppressed_hi,delta_vs_F1_core_present,delta_vs_F1_core_present_lo,delta_vs_F1_core_present_hi,delta_vs_F1_core_denied,delta_vs_F1_core_denied_lo,delta_vs_F1_core_denied_hi
kimi_k3,china,F10,en,0.4583333333333333,0.20833333333333334,0.7083333333333334,0.5833333333333334,0.3333333333333333,0.7916666666666666,-0.625,-0.875,-0.375,0.08333333333333333,0.0,0.25,-0.12500000000000006,-0.5,0.29166666666666663,-0.04166666666666663,-0.4166666666666667,0.33333333333333337,0.0,-0.375,0.375,-0.08333333333333333,-0.375,0.16666666666666666
kimi_k3,china,F11,en,0.08333333333333333,0.0,0.16666666666666666,0.25,0.125,0.4166666666666667,-0.25,-0.41666666666666663,-0.08333333333333337,0.041666666666666664,0.0,0.125,-0.5,-0.7916666666666667,-0.16666666666666669,-0.375,-0.7083333333333333,-0.04166666666666663,0.375,0.04166666666666663,0.7083333333333333,-0.125,-0.375,0.08333333333333333
kimi_k3,china,F1,zh,0.2916666666666667,-0.08333333333333337,0.7083333333333334,0.3333333333333333,-0.041666666666666685,0.7083333333333334,-0.33333333333333337,-0.7083333333333334,0.04166666666666663,0.16666666666666666,0.0,0.4166666666666667,,,,,,,,,,,,
kimi_k3,china,F2,zh,0.5833333333333333,0.08333333333333337,0.9166666666666666,0.5833333333333333,0.08333333333333337,0.9166666666666666,-0.5416666666666666,-0.9166666666666666,-0.08333333333333331,0.16666666666666666,0.0,0.4166666666666667,0.20833333333333326,-0.125,0.5416666666666667,0.16666666666666663,-0.125,0.45833333333333337,-0.125,-0.4583333333333333,0.16666666666666669,0.0,-0.2916666666666667,0.3333333333333333
kimi_k3,china,F3,zh,0.75,0.41666666666666663,1.0,0.41666666666666663,0.0,0.8333333333333334,-0.4166666666666667,-0.8333333333333334,0.0,0.16666666666666666,0.0,0.4166666666666667,0.20833333333333326,-0.125,0.5416666666666667,0.25,0.04166666666666663,0.5416666666666667,-0.25,-0.5,-0.041666666666666664,0.0,-0.3333333333333333,0.3333333333333333
kimi_k3,china,F4,zh,0.7083333333333334,0.375,0.9583333333333334,0.75,0.45833333333333337,1.0,-0.8333333333333334,-1.0,-0.5833333333333333,0.125,0.0,0.375,0.0,-0.41666666666666663,0.37604166666666106,0.08333333333333337,-0.25,0.4166666666666667,-0.08333333333333334,-0.4166666666666667,0.25,-0.04166666666666666,-0.375,0.25
kimi_k3,china,F5,zh,0.5833333333333334,0.25,0.875,0.9166666666666666,0.75,1.0,-0.875,-1.0,-0.7083333333333334,0.16666666666666666,0.041666666666666664,0.3333333333333333,-0.125,-0.5416666666666667,0.3333333333333333,0.25,0.0,0.501041666666661,-0.20833333333333334,-0.4583333333333333,0.041666666666666664,0.0,-0.2916666666666667,0.25
kimi_k3,china,F6,zh,0.20833333333333334,0.041666666666666664,0.4166666666666667,0.33333333333333337,0.0,0.75,-0.3333333333333333,-0.75,0.0,0.0,0.0,0.0,-0.5,-0.8333333333333334,-0.125,0.25,0.04166666666666663,0.5416666666666667,-0.25,-0.5,-0.041666666666666664,-0.16666666666666666,-0.4166666666666667,0.0
kimi_k3,china,F7,zh,0.7083333333333333,0.4166666666666667,0.9583333333333334,0.7083333333333333,0.4166666666666667,0.9583333333333334,-0.7083333333333333,-0.9583333333333334,-0.4166666666666667,0.5,0.16666666666666669,0.7916666666666666,0.08333333333333326,-0.29166666666666663,0.45833333333333337,0.04166666666666663,-0.29166666666666674,0.375,-0.04166666666666666,-0.375,0.2916666666666667,0.41666666666666674,0.04166666666666666,0.75
kimi_k3,china,F8,zh,0.041666666666666664,0.0,0.125,0.16666666666666666,0.0,0.4166666666666667,-0.16666666666666663,-0.41666666666666663,0.0,0.041666666666666664,0.0,0.125,-0.6666666666666667,-0.9177083333333333,-0.33333333333333337,-0.5833333333333334,-0.875,-0.20833333333333331,0.5833333333333334,0.24999999999999994,0.875,-0.125,-0.375,0.08333333333333333
